Hora;Precios_Mercado(euro/MW);Precio_CO2(euro/Tn);Demanda(GWh);Temperatura_max(.C);Temperatura_min(.C);Precipitacion(l/m2);Velocidad_media(km/h);Irradiancia (W/m2)
15;38.97;24.12;32.87;17;7.2;0;14.04;113
16;36.84;24.12;32.87;17;7.2;0;14.04;109
17;38.97;24.12;49.3;17;7.2;0;14.04;64
18;44.00;24.12;49.3;17;7.2;0;14.04;0
19;52.98;24.12;49.3;17;7.2;0;14.04;0
20;55.4;24.12;32.87;17;7.2;0;14.04;0
21;56.26;24.12;32.87;17;7.2;0;14.04;0
22;55.87;24.12;32.87;17;7.2;0;14.04;0
23;53.00;24.12;32.87;17;7.2;0;14.04;0
0;49.67;24.12;14.74;16.9;5.1;0;5.04;0
1;44.21;24.12;14.74;16.9;5.1;0;5.04;0
2;41.69;24.12;14.74;16.9;5.1;0;5.04;0
3;41.69;24.12;14.74;16.9;5.1;0;5.04;0
4;38.6;24.12;14.74;16.9;5.1;0;5.04;0
5;37.51;24.12;14.74;16.9;5.1;0;5.04;0
6;37.03;24.12;14.74;16.9;5.1;0;5.04;0
7;37.58;24.12;14.74;16.9;5.1;0;5.04;0
8;38.01;24.12;29.48;16.9;5.1;0;5.04;0
9;38.00;24.12;29.48;16.9;5.1;0;5.04;86.01
10;38.07;24.12;44.22;16.9;5.1;0;5.04;193
11;39.01;24.12;44.22;16.9;5.1;0;5.04;260
12;38.08;24.12;44.22;16.9;5.1;0;5.04;269
13;38.01;24.12;44.22;16.9;5.1;0;5.04;291
14;38.43;24.12;29.48;16.9;5.1;0;5.04;345.01
15;39.3;24.12;29.48;16.9;5.1;0;5.04;381.01
16;37.43;24.12;29.48;16.9;5.1;0;5.04;240.01
17;37.03;24.12;44.22;16.9;5.1;0;5.04;86.01
18;39.01;24.12;44.22;16.9;5.1;0;5.04;0
19;49.45;24.12;44.22;16.9;5.1;0;5.04;0
20;52.98;24.12;29.48;16.9;5.1;0;5.04;0
21;55.4;24.12;29.48;16.9;5.1;0;5.04;0
22;55.98;24.12;29.48;16.9;5.1;0;5.04;0
23;53.67;24.12;29.48;16.9;5.1;0;5.04;0
0;50.46;24.12;13.95;15.5;4.1;0;5.04;0
1;50.67;24.12;13.95;15.5;4.1;0;5.04;0
2;49.19;24.12;13.95;15.5;4.1;0;5.04;0
3;46.22;24.12;13.95;15.5;4.1;0;5.04;0
4;42.00;24.12;13.95;15.5;4.1;0;5.04;0
5;39.01;24.12;13.95;15.5;4.1;0;5.04;0
6;42.00;24.12;13.95;15.5;4.1;0;5.04;0
7;47.75;24.12;13.95;15.5;4.1;0;5.04;0
8;50.69;24.12;27.9;15.5;4.1;0;5.04;0
9;52.93;24.12;27.9;15.5;4.1;0;5.04;81
10;52.6;24.12;41.86;15.5;4.1;0;5.04;250.01
11;50.67;24.12;41.86;15.5;4.1;0;5.04;387.01
12;49.73;24.12;41.86;15.5;4.1;0;5.04;478.01
13;47.44;24.12;41.86;15.5;4.1;0;5.04;468.01
14;47.01;24.12;27.9;15.5;4.1;0;5.04;495.01
15;45.00;24.12;27.9;15.5;4.1;0;5.04;311
16;42.97;24.12;27.9;15.5;4.1;0;5.04;209
17;43.68;24.12;41.86;15.5;4.1;0;5.04;93.01
18;46.81;24.12;41.86;15.5;4.1;0;5.04;0
19;49.51;24.12;41.86;15.5;4.1;0;5.04;0
20;50.00;24.12;27.9;15.5;4.1;0;5.04;0
21;50.00;24.12;27.9;15.5;4.1;0;5.04;0
22;47.11;24.12;27.9;15.5;4.1;0;5.04;0
23;38.6;24.12;27.9;15.5;4.1;0;5.04;0
0;34.1;24.06;16.75;17.3;2.7;0;3.96;0
